PdfFileName,FileSize,SentenceNums,Status,OpenFileTS, StartCheckTS, EndCheckTS, CheckTime(ms), TotalTime(ms), 
A Financial Evaluation Framework for Blockchain Implementations.pdf,313.664 KB,511,Pass,1594460676868.4067,1594460676874.4355,1594460677278.739,404.30331230163574,410.33220291137695
A Full-Spectrum Blockchain-as-a-Service for Business Collaboration.pdf,491.056 KB,311,Pass,1594460677304.7454,1594460677313.7734,1594460677571.739,257.9655647277832,266.99352264404297
A Fully Decentralized Time-Lock Encryption System on Blockchain.pdf,574.943 KB,281,Pass,1594460677655.168,1594460677667.1665,1594460677800.1648,132.99822807312012,144.99664306640625
A Heuristic-Based Private Bitcoin Payment Network Formation Using Off-Chain Links.pdf,6.421 MB,511,Pass,1594460677827.1655,1594460677904.1636,1594460678719.1648,815.0012493133545,891.9992446899414
A High Performance Blockchain Platform for Intelligent Devices.pdf,1.553 MB,85,Pass,1594460678753.1663,1594460678774.1653,1594460679025.165,250.99968910217285,271.9988822937012
A Hybrid Blockchain Architecture for Privacy-Enabled and Accountable Auctions.pdf,617.283 KB,497,Pass,1594460679089.1638,1594460679103.1675,1594460679357.1646,253.9970874786377,268.00084114074707
A Lightweight Blockchain-Based Privacy Protection for Smart Surveillance at the Edge.pdf,137.515 KB,280,Pass,1594460679384.4739,1594460679388.4834,1594460679485.4834,97.0001220703125,101.00960731506348
A Lightweight Payment Verification Protocol for Blockchain Transactions on IoT Devices.pdf,256.245 KB,442,Pass,1594460679540.2554,1594460679546.2588,1594460679706.2573,159.99865531921387,166.0020351409912
A master-slave blockchain paradigm and application in digital rights management.pdf,1.068 MB,134,Pass,1594460679786.534,1594460679814.5354,1594460680676.5325,861.997127532959,889.9986743927002
A Measurement Study of Bitcoin Lightning Network.pdf,790.188 KB,674,Pass,1594460680703.534,1594460680715.5557,1594460680964.5322,248.976469039917,260.9982490539551
A method of image privacy protection based on blockchain technology.pdf,64.854 KB,141,Pass,1594460681016.225,1594460681019.2466,1594460681121.247,102.00047492980957,105.02195358276367
A Multiple Blockchains Architecture on Inter-Blockchain Communication.pdf,318.453 KB,335,Pass,1594460681159.174,1594460681166.17,1594460681431.1877,265.0177478790283,272.01366424560547
A Novel Blockchain Oracle Implementation Scheme Based on Application Specific Knowledge Engines.pdf,388.075 KB,285,Pass,1594460681454.2039,1594460681461.144,1594460681761.1665,300.0226020812988,306.9627285003662
A Permissioned Blockchain based Access Control System for IOT.pdf,836.873 KB,530,Pass,1594460681835.1638,1594460681847.1638,1594460682129.164,282.0000648498535,294.00014877319336
A Platform-independent| Generic-purpose| and Blockchain-based Supply Chain Tracking.pdf,81.128 KB,105,Pass,1594460682192.9292,1594460682197.9321,1594460682264.6929,66.76054000854492,71.76351547241211
A Privacy-Aware PKI System Based on Permissioned Blockchains.pdf,493.104 KB,230,Pass,1594460682305.4094,1594460682313.394,1594460682747.7217,434.3276023864746,442.31224060058594
A Privacy-Preserving Voting Protocol on Blockchain.pdf,1.144 MB,448,Pass,1594460682811.4697,1594460682830.4617,1594460683160.2651,329.803466796875,348.79541397094727
A Proposal for Account Recovery in Decentralized Applications.pdf,662.267 KB,519,Pass,1594460683205.842,1594460683216.84,1594460683435.7393,218.89925003051758,229.89726066589355
